Sat Sep 19 16:12:18 2020    output.dat

         6275 function calls (6124 primitive calls) in 334.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
     13/4    0.000    0.000    0.055    0.014 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       23    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:81(groups)
        4    0.000    0.000    0.001    0.000 C:\Python38-32\lib\genericpath.py:27(isfile)
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_compat.py:691(auto_wrap_for_ansi)
        2    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\socket.py:496(close)
        1    0.000    0.000    0.000    0.000 C:\Users\tianc\AppData\Roaming\Python\Python38\site-packages\colorama\win32.py:98(winapi_test)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        6    0.000    0.000    0.000    0.000 C:\Python38-32\lib\_collections_abc.py:657(get)
       17    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\logging\__init__.py:1069(emit)
        2    0.000    0.000    0.000    0.000 C:\Python38-32\lib\codecs.py:94(__new__)
        7    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\repr.py:111(DebugReprGenerator)
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\genericpath.py:121(_splitext)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\__init__.py:247(__init__)
        1    0.000    0.000    0.001    0.001 C:\Python38-32\lib\ntpath.py:524(abspath)
        1    0.000    0.000    0.002    0.002 C:\Python38-32\lib\code.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        5    0.000    0.000    0.000    0.000 C:\Python38-32\lib\ntpath.py:44(normcase)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\logging\__init__.py:1538(makeRecord)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\contextlib.py:482(__exit__)
        6    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:84(opengroup)
        3    0.000    0.000    0.000    0.000 {method 'from_address' of '_ctypes.PyCArrayType' objects}
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\codeop.py:1(<module>)
        4    0.000    0.000    0.000    0.000 C:\Python38-32\lib\_collections_abc.py:664(__contains__)
       14    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        4    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:432(_uniq)
        1    0.000    0.000    0.003    0.003 C:\Python38-32\lib\logging\__init__.py:1424(info)
       11    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1252(_path_hooks)
       10    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\__init__.py:220(DebuggedApplication)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\encodings\utf_16_le.py:1(<module>)
       12    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.009    0.003 C:\Python38-32\lib\site-packages\click\_winconsole.py:206(write)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\console.py:202(Console)
        5    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\sysconfig.py:121(_is_python_source_dir)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        7    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\click\_winconsole.py:219(__getattr__)
        2    0.000    0.000  334.885  167.442 C:\Python38-32\lib\subprocess.py:1074(wait)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\tbtools.py:234(Traceback)
        1    0.000    0.000    0.000    0.000 C:\Python38-32\lib\site-packages\werkzeug\debug\tbtools.py:451(Frame)
        7    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.000    0.000 C:\Python38-32\lib\ntpath.py:203(splitext)
